Var1,op,Var2,Result
20,p,3,23.0
8,s,7,1.0
4,p,3,7.0
18,p,13,31.0
0,s,2,-2.0
7,p,16,23.0
17,d,6,2.8333333333333335
7,m,14,98.0
0,d,5,0.0
10,s,8,2.0
6,p,10,16.0
2,p,12,14.0
11,m,11,121.0
1,p,14,15.0
12,m,2,24.0
20,m,19,380.0
18,p,6,24.0
1,m,7,7.0
2,p,7,9.0
12,d,8,1.5
20,s,11,9.0
11,s,11,0.0
8,p,20,28.0
19,s,20,-1.0
17,s,7,10.0
14,m,12,168.0
20,s,17,3.0
10,s,1,9.0
1,d,10,0.1
8,s,2,6.0
18,s,10,8.0
20,d,15,1.3333333333333333
20,s,14,6.0
8,s,4,4.0
17,m,17,289.0
18,d,13,1.3846153846153846
11,s,7,4.0
16,p,15,31.0
1,s,3,-2.0
20,d,5,4.0
19,d,2,9.5
12,d,19,0.631578947368421
16,p,8,24.0
3,m,17,51.0
20,p,10,30.0
9,s,13,-4.0
14,m,0,0.0
16,p,5,21.0
20,s,9,11.0
4,s,11,-7.0
17,p,16,33.0
19,d,10,1.9
0,m,3,0.0
9,p,7,16.0
7,p,18,25.0
2,p,15,17.0
17,s,4,13.0
15,s,17,-2.0
8,d,16,0.5
6,s,17,-11.0
9,m,12,108.0
14,d,16,0.875
3,s,7,-4.0
2,p,10,12.0
18,s,17,1.0
18,p,7,25.0
2,p,20,22.0
7,p,2,9.0
10,s,2,8.0
8,s,15,-7.0
17,d,4,4.25
7,d,15,0.4666666666666667
6,p,3,9.0
13,d,11,1.1818181818181819
13,p,14,27.0
20,p,20,40.0
1,m,12,12.0
3,s,7,-4.0
6,d,17,0.35294117647058826
4,s,13,-9.0
8,s,14,-6.0
2,p,14,16.0
1,p,20,21.0
2,s,7,-5.0
13,d,15,0.8666666666666667
6,p,12,18.0
5,p,12,17.0
12,d,8,1.5
9,d,13,0.6923076923076923
4,m,6,24.0
6,p,1,7.0
10,p,1,11.0
18,s,15,3.0
1,p,16,17.0
5,p,2,7.0
7,p,12,19.0
18,p,7,25.0
19,d,2,9.5
18,m,18,324.0
8,m,6,48.0
7,d,8,0.875
4,m,20,80.0
14,p,10,24.0
0,p,14,14.0
2,s,17,-15.0
16,s,8,8.0
11,s,2,9.0
11,s,9,2.0
14,m,17,238.0
19,p,20,39.0
17,p,9,26.0
4,p,8,12.0
3,s,17,-14.0
8,s,9,-1.0
10,m,6,60.0
16,m,15,240.0
1,d,2,0.5
8,p,1,9.0
10,m,4,40.0
5,d,14,0.35714285714285715
17,p,0,17.0
2,p,4,6.0
11,s,18,-7.0
13,p,4,17.0
9,p,11,20.0
11,s,6,5.0
3,d,11,0.2727272727272727
19,s,4,15.0
5,d,5,1.0
0,m,5,0.0
13,m,7,91.0
5,d,3,1.6666666666666667
1,s,15,-14.0
6,m,14,84.0
9,s,7,2.0
0,d,6,0.0
10,p,8,18.0
8,d,11,0.7272727272727273
17,p,10,27.0
3,s,8,-5.0
18,p,8,26.0
3,d,19,0.15789473684210525
11,d,10,1.1
19,p,16,35.0
12,s,18,-6.0
8,d,1,8.0
0,s,16,-16.0
11,p,13,24.0
10,m,19,190.0
3,m,9,27.0
13,d,10,1.3
9,s,17,-8.0
6,d,13,0.46153846153846156
5,m,19,95.0
12,p,17,29.0
9,s,9,0.0
13,m,18,234.0
14,d,14,1.0
6,d,16,0.375
5,m,2,10.0
16,m,20,320.0
2,m,7,14.0
7,s,6,1.0
0,s,1,-1.0
15,p,19,34.0
14,s,13,1.0
12,d,15,0.8
7,p,4,11.0
3,s,13,-10.0
5,d,16,0.3125
1,s,17,-16.0
3,s,14,-11.0
14,m,16,224.0
14,d,19,0.7368421052631579
17,s,14,3.0
15,m,14,210.0
7,m,20,140.0
16,s,15,1.0
8,p,14,22.0
9,m,7,63.0
10,p,10,20.0
4,s,4,0.0
12,s,4,8.0
2,d,13,0.15384615384615385
10,d,17,0.5882352941176471
13,s,1,12.0
13,p,12,25.0
18,d,12,1.5
0,m,11,0.0
12,s,13,-1.0
15,m,7,105.0
13,p,15,28.0
12,d,10,1.2
5,s,14,-9.0
19,p,17,36.0
12,p,18,30.0
2,d,20,0.1
4,s,14,-10.0
1,d,8,0.125
10,d,6,1.6666666666666667
10,d,10,1.0
8,m,13,104.0
2,p,15,17.0
17,m,1,17.0
7,p,20,27.0
20,p,1,21.0
7,p,6,13.0
19,s,4,15.0
4,p,15,19.0
18,d,6,3.0
8,s,11,-3.0
19,p,19,38.0
5,p,9,14.0
18,m,0,0.0
18,d,12,1.5
6,s,2,4.0
3,p,9,12.0
18,m,1,18.0
17,m,13,221.0
2,m,16,32.0
0,d,13,0.0
3,m,13,39.0
20,s,14,6.0
13,m,5,65.0
19,d,17,1.1176470588235294
14,m,13,182.0
10,p,7,17.0
8,s,14,-6.0
14,d,18,0.7777777777777778
10,d,0,0.0
10,d,5,2.0
6,m,11,66.0
10,m,8,80.0
17,s,0,17.0
2,d,7,0.2857142857142857
15,s,17,-2.0
15,d,20,0.75
14,p,0,14.0
9,d,7,1.2857142857142858
7,m,9,63.0
15,m,17,255.0
13,m,17,221.0
11,m,14,154.0
9,s,8,1.0
3,m,6,18.0
3,s,17,-14.0
6,d,6,1.0
8,m,18,144.0
3,m,6,18.0
7,s,11,-4.0
9,s,0,9.0
8,p,1,9.0
17,s,9,8.0
20,p,15,35.0
0,m,18,0.0
15,d,15,1.0
10,p,5,15.0
8,p,15,23.0
2,d,12,0.16666666666666666
2,p,18,20.0
4,m,4,16.0
2,p,7,9.0
17,s,13,4.0
16,d,12,1.3333333333333333
14,d,9,1.5555555555555556
9,p,18,27.0
19,s,3,16.0
20,m,6,120.0
2,s,5,-3.0
5,p,17,22.0
5,d,0,0.0
14,d,19,0.7368421052631579
9,s,1,8.0
9,d,9,1.0
2,m,7,14.0
20,s,18,2.0
13,s,3,10.0
20,m,4,80.0
4,p,2,6.0
5,m,9,45.0
14,d,3,4.666666666666667
9,m,12,108.0
16,d,17,0.9411764705882353
14,p,2,16.0
13,m,10,130.0
0,s,2,-2.0
18,p,18,36.0
8,p,18,26.0
5,d,15,0.3333333333333333
8,d,5,1.6
20,p,15,35.0
15,d,11,1.3636363636363635
10,p,10,20.0
5,d,10,0.5
15,d,9,1.6666666666666667
17,d,1,17.0
2,m,10,20.0
10,d,3,3.3333333333333335
16,d,0,0.0
13,s,1,12.0
16,d,11,1.4545454545454546
20,p,14,34.0
6,s,8,-2.0
9,d,14,0.6428571428571429
3,s,0,3.0
5,p,9,14.0
17,p,13,30.0
7,d,3,2.3333333333333335
3,s,20,-17.0
15,m,9,135.0
13,d,15,0.8666666666666667
7,s,14,-7.0
12,s,6,6.0
2,d,8,0.25
10,m,16,160.0
0,m,9,0.0
18,d,18,1.0
4,d,14,0.2857142857142857
11,d,10,1.1
14,s,10,4.0
7,d,18,0.3888888888888889
7,p,13,20.0
10,d,15,0.6666666666666666
12,s,20,-8.0
15,s,1,14.0
16,m,18,288.0
3,p,14,17.0
16,p,14,30.0
4,s,13,-9.0
2,m,15,30.0
10,d,19,0.5263157894736842
20,m,2,40.0
17,m,12,204.0
20,p,15,35.0
19,s,2,17.0
20,s,9,11.0
2,p,13,15.0
20,d,3,6.666666666666667
5,p,9,14.0
1,p,10,11.0
9,m,11,99.0
13,s,4,9.0
16,s,13,3.0
5,p,5,10.0
19,s,12,7.0
15,s,18,-3.0
7,m,14,98.0
14,p,8,22.0
14,s,9,5.0
2,m,14,28.0
18,d,9,2.0
8,m,14,112.0
6,d,12,0.5
3,d,7,0.42857142857142855
18,m,11,198.0
9,d,0,0.0
8,p,0,8.0
19,m,15,285.0
7,m,19,133.0
7,s,20,-13.0
19,s,8,11.0
20,p,3,23.0
9,p,14,23.0
18,s,11,7.0
2,m,9,18.0
13,s,5,8.0
4,m,17,68.0
16,m,16,256.0
5,d,8,0.625
9,p,10,19.0
14,s,2,12.0
7,m,12,84.0
2,p,12,14.0
8,p,17,25.0
14,m,11,154.0
18,m,12,216.0
3,d,7,0.42857142857142855
0,m,19,0.0
19,p,7,26.0
20,m,14,280.0
20,p,13,33.0
4,p,1,5.0
9,p,15,24.0
3,s,7,-4.0
12,m,14,168.0
17,s,13,4.0
13,p,20,33.0
15,d,19,0.7894736842105263
8,m,1,8.0
6,d,14,0.42857142857142855
7,p,11,18.0
11,m,17,187.0
1,m,12,12.0
6,d,3,2.0
2,p,6,8.0
1,s,10,-9.0
4,s,18,-14.0
2,s,17,-15.0
18,s,6,12.0
10,p,4,14.0
8,s,4,4.0
17,s,8,9.0
3,s,0,3.0
0,s,11,-11.0
18,p,10,28.0
5,p,8,13.0
4,p,13,17.0
2,d,15,0.13333333333333333
11,p,16,27.0
14,s,16,-2.0
19,m,1,19.0
14,p,20,34.0
1,d,15,0.06666666666666667
13,d,3,4.333333333333333
14,p,2,16.0
10,s,19,-9.0
2,m,4,8.0
19,m,20,380.0
12,m,19,228.0
14,d,16,0.875
3,s,3,0.0
13,s,14,-1.0
13,d,10,1.3
12,p,13,25.0
10,m,13,130.0
8,s,11,-3.0
15,p,2,17.0
2,d,2,1.0
3,s,11,-8.0
17,m,1,17.0
3,m,13,39.0
13,m,1,13.0
19,m,9,171.0
3,s,18,-15.0
4,s,15,-11.0
3,m,11,33.0
3,s,8,-5.0
13,p,17,30.0
19,p,8,27.0
5,m,8,40.0
10,p,11,21.0
5,d,4,1.25
2,p,4,6.0
2,s,16,-14.0
12,d,13,0.9230769230769231
10,m,5,50.0
9,p,10,19.0
1,s,4,-3.0
19,p,1,20.0
8,d,14,0.5714285714285714
15,d,19,0.7894736842105263
13,s,8,5.0
16,m,3,48.0
13,m,3,39.0
18,m,15,270.0
1,d,7,0.14285714285714285
19,p,1,20.0
6,s,9,-3.0
4,m,8,32.0
10,p,3,13.0
15,s,13,2.0
4,s,12,-8.0
16,m,17,272.0
2,p,12,14.0
13,d,0,0.0
2,d,10,0.2
18,d,12,1.5
9,d,3,3.0
0,s,10,-10.0
19,m,14,266.0
2,p,13,15.0
7,d,13,0.5384615384615384
16,d,2,8.0
9,s,10,-1.0
10,p,5,15.0
16,p,20,36.0
16,s,16,0.0
11,s,11,0.0
7,s,3,4.0
8,s,6,2.0
19,p,4,23.0
5,d,20,0.25
14,d,18,0.7777777777777778
18,m,20,360.0
20,s,10,10.0
14,d,2,7.0
14,m,20,280.0
8,p,18,26.0
11,p,16,27.0
9,d,14,0.6428571428571429
1,m,1,1.0
